generation,populationA,populationB,ct,prop_of_popB_from_popA
220,8,10,1,0.00452489
220,9,6,1,0.00456621
220,9,8,1,0.00462963
220,9,15,1,0.00462963
220,10,0,1,0.0045045
220,10,6,1,0.00456621
220,10,7,1,0.00465116
220,10,8,1,0.00462963
220,10,11,1,0.00452489
220,10,13,1,0.00458716
220,11,0,1,0.0045045
220,11,6,1,0.00456621
220,11,7,1,0.00465116
220,11,10,1,0.00452489
220,11,12,1,0.00452489
220,11,13,1,0.00458716
220,12,2,1,0.00446429
220,12,5,1,0.0045045
220,12,11,1,0.00452489
220,12,13,1,0.00458716
220,12,19,1,0.0045045
220,13,0,1,0.0045045
220,13,6,1,0.00456621
220,13,7,1,0.00465116
220,13,10,1,0.00452489
220,13,11,1,0.00452489
220,13,12,1,0.00452489
220,14,4,1,0.00458716
220,14,15,1,0.00462963
220,14,18,1,0.00465116
220,15,6,1,0.00456621
220,15,7,1,0.00465116
220,15,9,1,0.00444444
220,16,3,1,0.00452489
220,16,17,1,0.00465116
220,16,18,1,0.00465116
220,17,3,1,0.00452489
220,17,16,1,0.00440529
220,18,4,1,0.00458716
220,18,14,1,0.00423729
220,18,16,1,0.00440529
220,19,5,1,0.0045045
220,19,12,1,0.00452489
240,0,1,1,0.00492611
240,0,6,1,0.00456621
240,0,8,1,0.0046729
240,0,10,1,0.00454545
240,0,11,1,0.00446429
240,0,13,1,0.00452489
240,2,5,1,0.0044843
240,2,12,1,0.00454545
240,3,16,1,0.00446429
240,3,17,1,0.00471698
240,4,7,1,0.00465116
240,4,14,1,0.0042735
240,4,18,1,0.00460829
240,5,2,1,0.00444444
240,5,12,1,0.00454545
240,5,19,1,0.00446429
240,6,0,1,0.00446429
240,6,7,1,0.00465116
240,6,8,1,0.0046729
240,6,9,1,0.00444444
240,6,10,1,0.00454545
240,6,11,1,0.00446429
240,6,13,1,0.00452489
240,6,15,1,0.00460829
240,7,4,1,0.00452489
240,7,6,1,0.00456621
240,7,10,1,0.00454545
240,7,11,1,0.00446429
240,7,13,1,0.00452489
240,7,15,1,0.00460829
240,8,0,1,0.00446429
240,8,6,1,0.00456621
240,8,9,1,0.00444444
240,8,10,1,0.00454545
240,9,6,1,0.00456621
240,9,8,1,0.0046729
240,9,15,1,0.00460829
240,10,0,1,0.00446429
240,10,6,1,0.00456621
240,10,7,1,0.00465116
240,10,8,1,0.0046729
240,10,11,1,0.00446429
240,10,13,1,0.00452489
240,11,0,1,0.00446429
