generation,population1,population2,ld,f_st
300,8,12,0.00599331,0.0804059
300,8,13,0.00423768,0.0390029
300,8,14,0.0114266,0.136678
300,8,15,0.00532709,0.0639582
300,8,16,0.0106287,0.131007
300,8,17,0.00887682,0.117681
300,8,18,0.00959443,0.125034
300,8,19,0.00944534,0.120505
300,9,10,0.00518842,0.062885
300,9,11,0.00508151,0.0628396
300,9,12,0.00689228,0.097706
300,9,13,0.00476779,0.0528973
300,9,14,0.00992048,0.11413
300,9,15,0.00447401,0.0465683
300,9,16,0.010623,0.137769
300,9,17,0.00860294,0.114244
300,9,18,0.00936237,0.120333
300,9,19,0.00996402,0.126179
300,10,11,0.00408382,0.038331
300,10,12,0.00537843,0.0721791
300,10,13,0.00371684,0.0273231
300,10,14,0.0109725,0.131936
300,10,15,0.00517404,0.0650649
300,10,16,0.00835831,0.109534
300,10,17,0.00880913,0.118238
300,10,18,0.00741656,0.0998918
300,10,19,0.00837442,0.111633
300,11,12,0.00420251,0.040425
300,11,13,0.00375478,0.0271647
300,11,14,0.00947502,0.118792
300,11,15,0.00488837,0.0621695
300,11,16,0.00885327,0.12039
300,11,17,0.00854809,0.119011
300,11,18,0.00748047,0.103044
300,11,19,0.00740585,0.0930748
300,12,13,0.00455916,0.0527591
300,12,14,0.012554,0.149275
300,12,15,0.00646658,0.0922093
300,12,16,0.00995508,0.137127
300,12,17,0.00968312,0.135142
300,12,18,0.00939409,0.129247
300,12,19,0.00446152,0.0409154
300,13,14,0.0100354,0.120995
300,13,15,0.00495514,0.0619753
300,13,16,0.00847159,0.112138
300,13,17,0.00788201,0.108553
300,13,18,0.00764561,0.102491
300,13,19,0.00770489,0.0998471
300,14,15,0.00858026,0.0971221
300,14,16,0.00933807,0.118025
300,14,17,0.00845824,0.107724
300,14,18,0.00517917,0.0598705
300,14,19,0.018564,0.195322
300,15,16,0.0093272,0.119673
300,15,17,0.00901218,0.118148
300,15,18,0.00811496,0.100731
300,15,19,0.010304,0.132668
300,16,17,0.00414165,0.0486199
300,16,18,0.00461744,0.0539074
300,16,19,0.011684,0.144325
300,17,18,0.00541979,0.0682213
300,17,19,0.0130973,0.158642
300,18,19,0.0132555,0.158675
400,0,1,0.0135481,0.11353
400,0,2,0.0100927,0.125301
400,0,3,0.0133149,0.141772
400,0,4,0.00710878,0.093471
400,0,5,0.00820647,0.108749
400,0,6,0.00419514,0.0372121
400,0,7,0.0043678,0.0432251
400,0,8,0.00417113,0.039434
400,0,9,0.00553296,0.0692843
400,0,10,0.00412569,0.0328775
400,0,11,0.00435592,0.0457441
400,0,12,0.00574704,0.0781969
400,0,13,0.00379027,0.0310244
400,0,14,0.0125284,0.138311
400,0,15,0.00664897,0.0884255
400,0,16,0.00979221,0.117503
400,0,17,0.0112477,0.131649
400,0,18,0.00830765,0.108001
400,0,19,0.00797701,0.103631
400,1,2,0.0258101,0.213719
400,1,3,0.029892,0.22541
400,1,4,0.0234031,0.193957
400,1,5,0.0218021,0.200729
400,1,6,0.017856,0.154223
400,1,7,0.017968,0.156376
400,1,8,0.0185658,0.166704
400,1,9,0.0175717,0.159891
400,1,10,0.017459,0.146646
400,1,11,0.0181471,0.161656
400,1,12,0.0216944,0.19201
400,1,13,0.018604,0.164694
400,1,14,0.0327741,0.24992
